year,state,special,cook_rating,winner_name,winner_party,winner_pct
1996,SC,False,NA,Strom Thurmond,Republican,53.4
1996,SD,False,NA,Tim Johnson,Democrat,51.3
1996,TN,False,NA,Fred Thompson,Republican,61.4
1996,TX,False,NA,Phil Gramm,Republican,54.8
1996,VA,False,NA,John W. Warner,Republican,52.5
1996,WV,False,NA,John D. Rockefeller IV,Democrat,76.6
1996,WY,False,NA,Michael B. Enzi,Republican,54.1
1998,AL,False,NA,Richard C. Shelby,Republican,63.2
1998,AK,False,NA,Frank H. Murkowski,Republican,74.5
1998,AZ,False,NA,John McCain,Republican,68.7
1998,AR,False,NA,Blanche Lambert Lincoln,Democrat,55.1
1998,CA,False,NA,Barbara Boxer,Democrat,53.1
1998,CO,False,NA,Ben Nighthorse Campbell,Republican,62.5
1998,CT,False,NA,Christopher J. Dodd,Democrat,65.1
1998,FL,False,NA,Bob Graham,Democrat,62.5
1998,GA,False,NA,Paul Coverdell,Republican,52.4
1998,HI,False,NA,Daniel K. Inouye,Democrat,79.2
1998,ID,False,NA,Mike Crapo,Republican,69.5
1998,IL,False,NA,Peter G. Fitzgerald,Republican,50.3
1998,IN,False,NA,Evan Bayh,Democrat,63.7
1998,IA,False,NA,Charles E. Grassley,Republican,68.4
1998,KS,False,NA,Sam Brownback,Republican,65.3
1998,KY,False,NA,Jim Bunning,Republican,49.7
1998,LA,False,NA,John B. Breaux,Democrat,64.0
1998,MD,False,NA,Barbara A. Mikulski,Democrat,70.5
1998,MO,False,NA,Christopher S. Bond,Republican,52.7
1998,NV,False,NA,Harry Reid,Democrat,47.9
1998,NH,False,NA,Judd Gregg,Republican,67.8
1998,NY,False,NA,Charles E. Schumer,Democrat,47.8
1998,NC,False,NA,John Edwards,Democrat,51.2
1998,ND,False,NA,Byron L. Dorgan,Democrat,63.2
1998,OH,False,NA,George V. Voinovich,Republican,56.5
1998,OK,False,NA,Don Nickles,Republican,66.4
1998,OR,False,NA,Ron Wyden,Democrat,61.1
1998,PA,False,NA,Arlen Specter,Republican,61.3
1998,SC,False,NA,Ernest F. Hollings,Democrat,52.7
1998,SD,False,NA,Tom Daschle,Democrat,62.1
1998,UT,False,NA,Robert F. Bennett,Republican,64.0
1998,VT,False,NA,Patrick J. Leahy,Democrat,72.2
1998,WA,False,NA,Patty Murray,Democrat,58.4
1998,WI,False,NA,Russell D. Feingold,Democrat,50.5
2000,AZ,False,NA,Jon Kyl,Republican,79.3
2000,CA,False,NA,Dianne Feinstein,Democrat,55.8
2000,CT,False,NA,Joseph I. Lieberman,Democrat,63.2
2000,DE,False,NA,Thomas R. Carper,Democrat,55.5
2000,FL,False,NA,Bill Nelson,Democrat,51.0
2000,GA,True,NA,Zell Miller,Democrat,58.5
2000,HI,False,NA,Daniel K. Akaka,Democrat,72.7
2000,IN,False,NA,Richard G. Lugar,Republican,66.6
2000,ME,False,NA,Olympia J. Snowe,Republican,68.9
2000,MD,False,NA,Paul S. Sarbanes,Democrat,63.2
2000,MA,False,NA,Edward M. Kennedy,Democrat,69.1
2000,MI,False,NA,Debbie Stabenow,Democrat,49.5
2000,MN,False,NA,Mark Dayton,Democrat,48.8
2000,MS,False,NA,Trent Lott,Republican,65.9
2000,MO,False,NA,Mel Carnahan,Democrat,50.5
2000,MT,False,NA,Conrad Burns,Republican,50.6
2000,NE,False,NA,Ben Nelson,Democrat,51.0
2000,NV,False,NA,John Ensign,Republican,55.0
2000,NJ,False,NA,Jon S. Corzine,Democrat,50.1
2000,NM,False,NA,Jeff Bingaman,Democrat,61.7
2000,NY,False,NA,Hillary Rodham Clinton,Democrat,51.2
2000,ND,False,NA,Kent Conrad,Democrat,61.4
2000,OH,False,NA,Mike DeWine,Republican,59.9
2000,PA,False,NA,Rick Santorum,Republican,52.4
2000,RI,False,NA,Lincoln D. Chafee,Republican,56.9
2000,TN,False,NA,Bill Frist,Republican,65.1
2000,TX,False,NA,Kay Bailey Hutchison,Republican,65.1
2000,UT,False,NA,Orrin G. Hatch,Republican,65.6
2000,VT,False,NA,James M. Jeffords,Republican,65.6
2000,VA,False,NA,George F. Allen,Republican,52.3
2000,WA,False,NA,Maria Cantwell,Democrat,48.7
2000,WV,False,NA,Robert C. Byrd,Democrat,77.8
2000,WI,False,NA,Herb Kohl,Democrat,61.5
2000,WY,False,NA,Craig Thomas,Republican,73.8
2002,AL,False,NA,Jeff Sessions,Republican,58.6
2002,AK,False,NA,Ted Stevens,Republican,78.2
2002,AR,False,NA,Mark Pryor,Democrat,53.9
2002,CO,False,NA,Wayne Allard,Republican,50.7
2002,DE,False,NA,Joseph R. Biden Jr.,Democrat,58.2
2002,GA,False,NA,Saxby Chambliss,Republican,52.7
2002,ID,False,NA,Larry E. Craig,Republican,65.2
2002,IL,False,NA,Richard J. Durbin,Democrat,60.3
2002,IA,False,NA,Tom Harkin,Democrat,54.2
2002,KS,False,NA,Pat Roberts,Republican,82.5
2002,KY,False,NA,Mitch McConnell,Republican,64.7
2002,LA,False,NA,Mary L. Landrieu,Democrat,25.7
2002,ME,False,NA,Susan M. Collins,Republican,58.4
2002,MA,False,NA,John F. Kerry,Democrat,72.3
2002,MI,False,NA,Carl Levin,Democrat,60.6
2002,MN,False,NA,Norm Coleman,Republican,49.5
2002,MS,False,NA,Thad Cochran,Republican,84.6
2002,MO,True,NA,Jim Talent,Republican,49.8
2002,MT,False,NA,Max Baucus,Democrat,62.7
2002,NE,False,NA,Chuck Hagel,Republican,82.8
2002,NH,False,NA,John E. Sununu,Republican,50.8
2002,NJ,False,NA,Frank R. Lautenberg,Democrat,53.9
2002,NM,False,NA,Pete V. Domenici,Republican,65.0
2002,NC,False,NA,Elizabeth H. Dole,Republican,53.6
2002,OK,False,NA,James M. Inhofe,Republican,57.3
2002,OR,False,NA,Gordon Smith,Republican,56.2
2002,RI,False,NA,Jack Reed,Democrat,78.4
2002,SC,False,NA,Lindsey O. Graham,Republican,54.4
2002,SD,False,NA,Tim Johnson,Democrat,49.6
2002,TN,False,NA,Lamar Alexander,Republican,54.3
2002,TX,False,NA,John Cornyn,Republican,55.3
2002,VA,False,NA,John W. Warner,Republican,82.6
2002,WV,False,NA,John D. Rockefeller IV,Democrat,63.1
2002,WY,False,NA,Michael B. Enzi,Republican,73.0
